	Autore	Titolo	Genere	Numero di prestiti	Data prestito
2006	Calvino Italo	Marcovaldo			15/09/2006
2006	Marquez Gabriel Garcia	Cent'anni di solitudine			15/09/2006
2006	Burger Karl	I gatti			15/09/2006
2006	La Polla Franco	Steven Spielberg			15/09/2006
2006	Calvino Italo	Se una notte d'inverno un viaggiatore			21/10/2006
2006	Brontë Emily	Cime tempestose			21/10/2006
2006	Allende Isabel	La casa degli spiriti			21/10/2006
2006	Greener Graham	Il nostro agente dell'Avana			21/10/2006
2006	Wilde Oscar	Il ritratto di Dorian Gray			21/10/2006
2006	Calvino Italo	Il visconte dimezzato			21/10/2006
2006	Bufalino Gesualdo	Argo il cieco ovvero i sogni della memoria			21/10/2006
2006	Carnemolla Guglielmo	D'eroina sei morto figlio			21/10/2006
2006	Shakespeare William	Teatro			21/10/2006
2006	Calvino Italo	Ti con zero			21/10/2006
2006	Buzzati Dino 	Bàrnabo delle montagne			21/10/2006
2006	De Carlo Andrea	Uccelli da gabbia e da voliera			21/10/2006
2006	Sciascia Leonardo	Il teatro della memoria			21/10/2006
2006	Sciascia Leonardo	I pugnalatori			21/10/2006
2006	De Carlo Andrea	Magno			21/10/2006
2006	De Carlo Andrea	Due di due			21/10/2006
2006	Stevenson Robert Louis	L'isola del tesoro			21/10/2006
2006	Hawthorne Nathaniel	L'isola scarlatta			21/10/2006
2006	Orwell George	La fattoria degli animali			21/10/2006
2006	Samarakis Antonis 	Lo sbaglio			21/10/2006
2006	Stevenson Robert Louis	Lo strano caso del dottor Jekyll e del signor Hyde			21/10/2006
2006	De Cervantes Miguel	Don Chisciotte			21/10/2006
2006	De Carlo Andrea	Treno di panna			21/10/2006
2006	Calvino Italo	Il castello dei destini incrociati			21/10/2006
2006	Sciascia Leonardo	Il giorno della civetta			21/10/2006
2006	Sciascia Leonardo	Il conteso			21/10/2006
2006	Buzzati Dino 	Bàrnabo delle montagne			21/10/2006
2006	Crichton Michael	Sfera			21/10/2006
2006	Sartre Jean Paul	L'immaginazione. Idee per una teoria delle emozioni			23/11/2006
2006	Sartre Jean Paul	Immagine e coscienza			23/11/2006
2006	Bufalino Gesualdo	Diceria dell'untore			30/11/2006
2006	Orwell George	1984			06/12/2006
2006	Greener Graham	Una pistola in vendita			06/12/2006
2006	Eco Umberto	Il nome della rosa			06/12/2006
2006	Calvino Italo	Palomar			06/12/2006
2006	Stevenson Robert Louis	Il master di Ballantrae			06/12/2006
2006	Lessing Doris	Racconti africani			06/12/2006
2006	Bencivenni Alessandro	Luchino Visconti			18/12/2006
2006	non indicato	Yucatan			22/12/2006
2006	Calcerano Luigi, Fiori Giuseppe	Filippo e Marlowe indagano			22/12/2006
2006	Saviane Giorgio	Getsemani			22/12/2006
2006	Pazzi Roberto	La principessa e il drago			22/12/2006
2006	Buzzati Dino 	Il colombre e altri cinquanta racconti			22/12/2006
2006	Deledda Grazia	Cenere			22/12/2006
2006	Sciascia Leonardo	Il consiglio d'Egitto			22/12/2006
2006	Calvino Italo	Gli amori difficili			22/12/2006
2006	Agnelli Susanna	Vestivamo alla marinara			22/12/2006
2006	Calvino Italo	Marcovaldo			22/12/2006
2006	Calvino Italo	Il cavaliere inesistente			22/12/2006
2006	Schnitzler Arthur	Signorina Else			22/12/2006
2006	Deledda Grazia	Canne al vento			22/12/2006
2006	Saviane Giorgio	Il terzo aspetto			22/12/2006
2006	Calvino Italo	Il castello dei destini incrociati			22/12/2006
2006	Dessì Giuseppe	Il disertore			22/12/2006
2006	Blixen Karen	Sette storie gotiche			22/12/2006
2006	Deledda Grazia	Cosima			22/12/2006
2006	Sciascia Leonardo	Gli zii di Sicilia			22/12/2006
2006	Sciascia Leonardo	Il contesto			22/12/2006
2007	Bassani Giorgio	Il giardino dei Finzi Contini			11/01/2007
2007	Albertoni Ettore A.	Gaetano Mosca e la teoria della classe politica			11/01/2007
2007	Dulbecco Renato	Il progetto della vita			30/01/2007
2007	AA. VV.	Molecole e vita			30/01/2007
2007	Lehninger Albert L.	Biochimica			30/01/2007
2007	Natta Giulio	Stereochimica			05/02/2007
2007	Hendrickson James B.	Chimica organica			05/02/2007
2007	Owen M. Philips	Nel cuore della terra			05/02/2007
2007	Manferlotti Stefano	George Orwell			17/02/2007
2007	non indicato	G. Macor			24/2/2007
2007	Comunità montana	Pinacoteca d'arte contemporanea			24/2/2007
2007	Centro friulano arti	Carnia e Canal del Ferro			24/2/2007
2007	Castellani Fulvio	"Mandi" Italo			24/2/2007
2007	Lunazzi Melania, Merluzzi Franca - a cura di	La Carnia di Orazio Toschi e il mondo della sua pittura			24/2/2007
2007	Cerroni Umberto	Il pensiero politico			01/03/2007
2007	Ayres Frank	Calcolo differenziale ed integrale			01/03/2007
2007	Freud Sigmund	Introduzione allo studio della psicanalisi			08/03/2007
2007	Lipshutz Seymour	Algebra lineare			10/05/2007
2007	Scheid Francis	Analisi numerica			10/05/2007
2007	Halliday David, Resnick Robert	Fisica. Elettromagnetismo, ottica			10/05/2007
2007	Halliday David, Resnick Robert	Fisica			10/05/2007
2007	Morgenstern Oskar	Teoria dei giochi			11/06/2007
2007	D'Amore Bruno	Teoria dei giochi			11/06/2007
2007	Dazieri Sandrone	La cura del gorilla			15/11/2007
2007	Benigni Roberto, Cerami Vincenzo	La tigre e la neve			15/11/2007
2007	Guglielminetti Marziano	Petrarca e il Petrarchismo			15/11/2007
2007	Rigoni Stern Mario	Stagioni			15/11/2007
2007	De Carlo Andrea	Uccelli da gabbia e da voliera			15/11/2007
2007	Divakaruni Chitra B.	Sorella del mio cuore			15/11/2007
2007	Benigno Roberto, Cerami Vincenzo	La vita è bella			15/11/2007
2007	Rigoni Stern Mario	Stagioni			15/11/2007
2007	Hawthorne Nathaniel	La lettera scarlatta			15/11/2007
2007	Eco Umberto	Il nome della rosa			15/11/2007
2007	Kafka Franz	Il processo			15/11/2007
2007	Steinbeck John	Uomini e topi			15/11/2007
2007	Calvino Italo	Il cavaliere inesistente			15/11/2007
2007	Deledda Grazia	L'edera			15/11/2007
2007	Poe Edgar Allan	Racconti			15/11/2007
2007	Queneau Raymond	Zazie nel metrò			15/11/2007
2007	AA. VV.	Il linguaggio cinematografico			29/11/2007
2007	Waismann Friedrich	Introduzione al pensiero matematico			04/12/2007
2007	Colerus Egmont	Piccola storia della matematica			04/12/2007
2007	Boyer Carl B.	Storia della matematica			04/12/2007
2007	Peter Rozsa	Giocando con l'infinito: matematica per tutti			04/12/2007
2007	De Sanctis Federico	Saggi critici vol. 1			06/12/2007
2007	De Sanctis Federico	Saggi critici vol. 2			06/12/2007
2007	De Sanctis Federico	Saggi critici vol. 3			06/12/2007
2007	Fenoglio Beppe	Una questione privata			07/12/2007
2007	Verga Giovanni	Mastro don Gesualdo			12/12/2007
2007	Verga Giovanni	Tutte le novelle vol. 1			12/12/2007
2007	Arbasino Alberto	Super Eliogabalo			14/12/2007
2007	Pirandello Luigi	I vecchi e i giovani			17/12/2007
2007	AA. VV.	Le meraviglie del comportamento animale			17/12/2007
2007	Christen Yves	L'ora della sociobiologia			17/12/2007
2007	Rensch Bernhard	Biologia vol. 2			17/12/2007
2007	Ghirardi Gian Carlo	Un'occhiata alle carte di Dio			20/12/2007
2007	Machiavelli Niccolò	La Mandragola, Belfagor, Lettere			21/12/2007
2008	Paumgartner Bernhard	Mozart			23/1/2008
2008	Divakaruni Chitra B.	Sorella del mio cuore			08/02/2008
2008	Buzzati Dino 	Un amore			08/02/2008
2008	Poe Edgar Allan	I racconti			08/02/2008
2008	Lewis Roy	Il più grande uomo scimmia del Pleistocene			08/02/2008
2008	Alighieri Dante	La Divina Commedia			08/02/2008
2008	Steinbeck John	La santa rossa			08/02/2008
2008	Fenoglio Beppe	Una questione privata			08/02/2008
2008	Magris Claudio	In alto mare			08/02/2008
2008	Goscinny René, Uderzo Albert	Asterix e Cleopatra			08/02/2008
2008	Nietzsche Friedrich	La nascita della tragedia : Genealogia della morale			21/02/2008
